claim_id	stage_id	claim_type	claim	evidence_locator	repo_authority	paper_authority	evidence_status
claim.fastq.validate_reads.workflow_policy	fastq.validate_reads	input_layout_restriction	Valid FASTQ structure and paired-read synchronization must be established before mutating preprocessing stages.	domain/fastq/stages/validate_reads.yaml;domain/fastq/artifacts.yaml	domain/fastq/tools/fastqvalidator.yaml;domain/fastq/tools/fastqc.yaml	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
claim.fastq.detect_adapters.empirical	fastq.detect_adapters	empirical_claim	Adapter evidence is an observed QC signal and is not equivalent to trimming unless a downstream trimming policy consumes the adapter bank.	domain/fastq/stages/detect_adapters.yaml	domain/fastq/tools/fastqc.yaml;domain/fastq/tools/fastp.yaml	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
claim.fastq.trim_reads.empirical	fastq.trim_reads	empirical_claim	General read trimming may change sequence length, base composition, and read retention; comparability requires fixed tool, adapter bank, quality policy, and minimum-length policy.	domain/fastq/stages/trim_reads.yaml	domain/fastq/tools/fastp.yaml;domain/fastq/tools/cutadapt.yaml;domain/fastq/tools/trimmomatic.yaml	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
claim.fastq.filter_reads.workflow_policy	fastq.filter_reads	workflow_policy	Filtering removes or retains reads under explicit N-content, quality, complexity, and length policies and must publish read-count accounting.	domain/fastq/stages/filter_reads.yaml	domain/fastq/tools/fastp.yaml;domain/fastq/tools/seqkit.yaml	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
claim.fastq.correct_errors.empirical	fastq.correct_errors	empirical_claim	Error correction can alter bases and is not safe as a default for every library type; use requires route-family justification and tool-specific evidence.	domain/fastq/stages/correct_errors.yaml	domain/fastq/tools/rcorrector.yaml;domain/fastq/tools/musket.yaml;domain/fastq/tools/lighter.yaml;domain/fastq/tools/bayeshammer.yaml	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
claim.fastq.extract_umis.workflow_policy	fastq.extract_umis	stage_order_justification	UMI extraction must occur before any stage that can trim, rename, or otherwise destroy barcode-position evidence unless the route explicitly proves post-trim recovery.	domain/fastq/stages/extract_umis.yaml	domain/fastq/tools/umi_tools.yaml	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
claim.fastq.merge_pairs.comparability	fastq.merge_pairs	comparability_boundary	Merged-read outputs are not interchangeable with paired-end outputs unless downstream stage contracts explicitly admit merged-read layout.	domain/fastq/stages/merge_pairs.yaml	domain/fastq/tools/adapterremoval.yaml;domain/fastq/tools/pear.yaml;domain/fastq/tools/flash2.yaml;domain/fastq/tools/bbmerge.yaml	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
claim.fastq.remove_duplicates.comparability	fastq.remove_duplicates	non_equivalence_to_neighboring_stage	FASTQ duplicate removal is not equivalent to alignment-aware duplicate marking and must not be interpreted as a BAM duplicate metric.	domain/fastq/stages/remove_duplicates.yaml	domain/fastq/tools/clumpify.yaml;domain/fastq/tools/fastuniq.yaml	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
claim.fastq.filter_low_complexity.empirical	fastq.filter_low_complexity	empirical_claim	Low-complexity filtering changes read retention using explicit entropy, k-mer, or motif policy and requires fixed thresholds for fair comparison.	domain/fastq/stages/filter_low_complexity.yaml	domain/fastq/tools/bbduk.yaml;domain/fastq/tools/prinseq.yaml	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
claim.fastq.deplete_host.database	fastq.deplete_host	database_provenance_requirement	Host depletion is database-dependent; source reference, build, index backend, and index digest define the scientific comparability boundary.	domain/fastq/stages/deplete_host.yaml;configs/runtime/asset_locks.toml	domain/fastq/tools/bowtie2.yaml	science-docs/upstream/papers/TOOL_PAPER_MAP.tsv	tracked
