stage_id	tool_id	decision_mode	correctness_signal	result_ids	report_row_ids	corpus_ids	report_sections	row_statuses	score_status	truth_correctness_score	truth_correctness_basis	contract_correctness_score	contract_correctness_basis	retained_reads	dropped_reads	alignment_qc_metric_value	alignment_qc_metric_basis	coverage_metric_value	coverage_metric_basis	damage_metric_value	damage_metric_basis	authenticity_metric_value	authenticity_metric_basis	scientific_metric_ids	scientific_metric_summary	runtime_seconds	runtime_source	observed_memory_mb	declared_memory_mb	memory_source	failure_class	micro_execution_status	score_weight_coverage	score_total	evidence_paths	reason
bam.align	bowtie2	multi_tool_ranking	scientific_comparable_metrics	bam:corpus-01-mini:bam.align:sample-set:bowtie2	bam:corpus-01-mini:bam.align:sample-set:bowtie2	corpus-01-mini	alignment_intake	present	insufficient_evidence															alignment_rate,mapped_reads			not_available		2048.000000	declared_stage_tool_resource	insufficient_data	succeeded	0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real BAM smoke or micro evidence row was found for `bam.align` / `bowtie2`
bam.align	bwa	multi_tool_ranking	scientific_comparable_metrics	bam:corpus-01-mini:bam.align:sample-set:bwa	bam:corpus-01-mini:bam.align:sample-set:bwa	corpus-01-mini	alignment_intake	present	insufficient_evidence															alignment_rate,mapped_reads			not_applicable			not_applicable	insufficient_data	container_needed	0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real BAM smoke or micro evidence row was found for `bam.align` / `bwa`
bam.authenticity	authenticct	multi_tool_ranking	scientific_comparable_metrics	bam:corpus-01-adna-damage-mini:bam.authenticity:adna_damage_non_udg:authenticct	bam:corpus-01-adna-damage-mini:bam.authenticity:adna_damage_non_udg:authenticct	corpus-01-adna-damage-mini	ancient_signal	present	scored	0.836667	authenticity_metric_mean	1.000000	authenticity smoke report preserved governed score, confidence, and status surfaces									0.533333	score	confidence,pmd_like_signal_present,score,status	confidence=0.813333; pmd_like_signal_present=true; status=pass		not_available		2048.000000	declared_stage_tool_resource	none	succeeded	0.850000	0.884706	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/bam.authenticity/authenticity.json	scored from 1 real evidence surface(s) with micro execution status `succeeded` and memory source `declared_stage_tool_resource`
bam.authenticity	damageprofiler	multi_tool_ranking	scientific_comparable_metrics	bam:corpus-01-adna-damage-mini:bam.authenticity:adna_damage_non_udg:damageprofiler	bam:corpus-01-adna-damage-mini:bam.authenticity:adna_damage_non_udg:damageprofiler	corpus-01-adna-damage-mini	ancient_signal	present	insufficient_evidence															confidence,pmd_like_signal_present,score,status			not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real BAM smoke or micro evidence row was found for `bam.authenticity` / `damageprofiler`
bam.authenticity	pmdtools	multi_tool_ranking	scientific_comparable_metrics	bam:corpus-01-adna-damage-mini:bam.authenticity:adna_damage_non_udg:pmdtools	bam:corpus-01-adna-damage-mini:bam.authenticity:adna_damage_non_udg:pmdtools	corpus-01-adna-damage-mini	ancient_signal	present	insufficient_evidence															confidence,pmd_like_signal_present,score,status			not_available		2048.000000	declared_stage_tool_resource	insufficient_data	succeeded	0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real BAM smoke or micro evidence row was found for `bam.authenticity` / `pmdtools`
bam.bias_mitigation	mapdamage2	single_tool_acceptance	output_contract	bam:corpus-01-bam-mini:bam.bias_mitigation:sample-set:mapdamage2	bam:corpus-01-bam-mini:bam.bias_mitigation:sample-set:mapdamage2	corpus-01-bam-mini	downstream_readiness	present	insufficient_evidence																		not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real BAM smoke or micro evidence row was found for `bam.bias_mitigation` / `mapdamage2`
bam.complexity	preseq	single_tool_acceptance	output_contract	bam:corpus-01-bam-mini:bam.complexity:sample-set:preseq	bam:corpus-01-bam-mini:bam.complexity:sample-set:preseq	corpus-01-bam-mini	library_complexity	present	scored			1.000000	complexity smoke report preserved governed library complexity summary outputs												estimated_library_size=12; saturation_estimate=; observed_total_reads=6		not_available		2048.000000	declared_stage_tool_resource	none	succeeded	0.850000	1.000000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/bam.complexity/complexity.json	scored from 1 real evidence surface(s) with micro execution status `succeeded` and memory source `declared_stage_tool_resource`
bam.contamination	contammix	multi_tool_ranking	scientific_comparable_metrics	bam:corpus-01-adna-bam-mini:bam.contamination:sample-set:contammix	bam:corpus-01-adna-bam-mini:bam.contamination:sample-set:contammix	corpus-01-adna-bam-mini	ancient_signal	present	scored	0.980000	one_minus_contamination_estimate	1.000000	contamination smoke report preserved governed estimate and prerequisite surfaces									0.020000	estimate	ci_high,ci_low,estimate	estimate=0.020000; ci_low=0.010000; ci_high=0.030000		not_available			not_available	none		0.750000	0.984000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/bam.contamination/local_smoke.json	scored from 1 real evidence surface(s); runtime and memory ranking remain unavailable for this binding
bam.contamination	schmutzi	multi_tool_ranking	scientific_comparable_metrics	bam:corpus-01-adna-bam-mini:bam.contamination:sample-set:schmutzi	bam:corpus-01-adna-bam-mini:bam.contamination:sample-set:schmutzi	corpus-01-adna-bam-mini	ancient_signal	present	scored	0.980000	one_minus_contamination_estimate	1.000000	contamination smoke report preserved governed estimate and prerequisite surfaces									0.020000	estimate	ci_high,ci_low,estimate	estimate=0.020000; ci_low=0.010000; ci_high=0.030000		not_applicable			not_applicable	none	unavailable	0.750000	0.984000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/bam.contamination/local_smoke.json	scored from 1 real evidence surface(s) with micro execution status `unavailable` and memory source `not_applicable`
bam.contamination	verifybamid2	multi_tool_ranking	scientific_comparable_metrics	bam:corpus-01-adna-bam-mini:bam.contamination:sample-set:verifybamid2	bam:corpus-01-adna-bam-mini:bam.contamination:sample-set:verifybamid2	corpus-01-adna-bam-mini	ancient_signal	present	scored	0.980000	one_minus_contamination_estimate	1.000000	contamination smoke report preserved governed estimate and prerequisite surfaces									0.020000	estimate	ci_high,ci_low,estimate	estimate=0.020000; ci_low=0.010000; ci_high=0.030000		not_applicable			not_applicable	none	unavailable	0.750000	0.984000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/bam.contamination/local_smoke.json	scored from 1 real evidence surface(s) with micro execution status `unavailable` and memory source `not_applicable`
bam.coverage	bedtools	multi_tool_ranking	scientific_comparable_metrics	bam:corpus-01-bam-mini:bam.coverage:sample-set:bedtools	bam:corpus-01-bam-mini:bam.coverage:sample-set:bedtools	corpus-01-bam-mini	coverage_quality	present	insufficient_evidence															breadth_1x,covered_bases,mean_depth			not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real BAM smoke or micro evidence row was found for `bam.coverage` / `bedtools`
bam.coverage	mosdepth	multi_tool_ranking	scientific_comparable_metrics	bam:corpus-01-bam-mini:bam.coverage:sample-set:mosdepth	bam:corpus-01-bam-mini:bam.coverage:sample-set:mosdepth	corpus-01-bam-mini	coverage_quality	present	insufficient_evidence															breadth_1x,covered_bases,mean_depth			not_applicable			not_applicable	insufficient_data	container_needed	0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real BAM smoke or micro evidence row was found for `bam.coverage` / `mosdepth`
bam.coverage	samtools	multi_tool_ranking	scientific_comparable_metrics	bam:corpus-01-bam-mini:bam.coverage:sample-set:samtools	bam:corpus-01-bam-mini:bam.coverage:sample-set:samtools	corpus-01-bam-mini	coverage_quality	present	scored	0.875000	mean_breadth_1x	1.000000	coverage TSV preserved governed breadth, covered bases, and depth surfaces					1.041667	mean_depth					breadth_1x,covered_bases,mean_depth	breadth_1x_mean=0.875000; covered_bases_total=9; mean_depth_mean=1.041667		not_available		1024.000000	declared_stage_tool_resource	none	succeeded	0.850000	0.911765	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/bam.coverage/coverage.tsv	scored from 1 real evidence surface(s) with micro execution status `succeeded` and memory source `declared_stage_tool_resource`
bam.damage	addeam	multi_tool_ranking	scientific_comparable_metrics	bam:corpus-01-adna-damage-mini:bam.damage:adna_damage_non_udg:addeam	bam:corpus-01-adna-damage-mini:bam.damage:adna_damage_non_udg:addeam	corpus-01-adna-damage-mini	ancient_signal	present	insufficient_evidence															damage_signal,terminal_c_to_t_5p,terminal_g_to_a_3p			not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real BAM smoke or micro evidence row was found for `bam.damage` / `addeam`
bam.damage	damageprofiler	multi_tool_ranking	scientific_comparable_metrics	bam:corpus-01-adna-damage-mini:bam.damage:adna_damage_non_udg:damageprofiler	bam:corpus-01-adna-damage-mini:bam.damage:adna_damage_non_udg:damageprofiler	corpus-01-adna-damage-mini	ancient_signal	present	insufficient_evidence															damage_signal,terminal_c_to_t_5p,terminal_g_to_a_3p			not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real BAM smoke or micro evidence row was found for `bam.damage` / `damageprofiler`
bam.damage	mapdamage2	multi_tool_ranking	scientific_comparable_metrics	bam:corpus-01-adna-damage-mini:bam.damage:adna_damage_non_udg:mapdamage2	bam:corpus-01-adna-damage-mini:bam.damage:adna_damage_non_udg:mapdamage2	corpus-01-adna-damage-mini	ancient_signal	present	insufficient_evidence															damage_signal,terminal_c_to_t_5p,terminal_g_to_a_3p			not_available		1024.000000	declared_stage_tool_resource	insufficient_data	succeeded	0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real BAM smoke or micro evidence row was found for `bam.damage` / `mapdamage2`
bam.damage	ngsbriggs	multi_tool_ranking	scientific_comparable_metrics	bam:corpus-01-adna-damage-mini:bam.damage:adna_damage_non_udg:ngsbriggs	bam:corpus-01-adna-damage-mini:bam.damage:adna_damage_non_udg:ngsbriggs	corpus-01-adna-damage-mini	ancient_signal	present	scored	0.145000	mean_terminal_substitution_rate	1.000000	damage smoke report preserved governed terminal substitution and damage label surfaces							0.145000	mean_terminal_substitution_rate			damage_signal,terminal_c_to_t_5p,terminal_g_to_a_3p	damage_signal=moderate; terminal_c_to_t_5p=0.180000; terminal_g_to_a_3p=0.110000		not_available			not_available	none		0.750000	0.316000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/bam.damage/damage.json	scored from 1 real evidence surface(s); runtime and memory ranking remain unavailable for this binding
bam.damage	pmdtools	multi_tool_ranking	scientific_comparable_metrics	bam:corpus-01-adna-damage-mini:bam.damage:adna_damage_non_udg:pmdtools	bam:corpus-01-adna-damage-mini:bam.damage:adna_damage_non_udg:pmdtools	corpus-01-adna-damage-mini	ancient_signal	present	insufficient_evidence															damage_signal,terminal_c_to_t_5p,terminal_g_to_a_3p			not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real BAM smoke or micro evidence row was found for `bam.damage` / `pmdtools`
bam.damage	pydamage	multi_tool_ranking	scientific_comparable_metrics	bam:corpus-01-adna-damage-mini:bam.damage:adna_damage_non_udg:pydamage	bam:corpus-01-adna-damage-mini:bam.damage:adna_damage_non_udg:pydamage	corpus-01-adna-damage-mini	ancient_signal	present	insufficient_evidence															damage_signal,terminal_c_to_t_5p,terminal_g_to_a_3p			not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real BAM smoke or micro evidence row was found for `bam.damage` / `pydamage`
bam.duplication_metrics	picard	multi_tool_ranking	scientific_comparable_metrics	bam:corpus-01-bam-mini:bam.duplication_metrics:sample-set:picard	bam:corpus-01-bam-mini:bam.duplication_metrics:sample-set:picard	corpus-01-bam-mini	library_complexity	present	insufficient_evidence															duplicate_count,duplicate_fraction,estimated_library_size			not_available			not_available	insufficient_data		0.000000			the stage completed but the benchmark evidence is not strong enough to rank tools; no real BAM smoke or micro evidence row was found for `bam.duplication_metrics` / `picard`
bam.duplication_metrics	samtools	multi_tool_ranking	scientific_comparable_metrics	bam:corpus-01-bam-mini:bam.duplication_metrics:sample-set:samtools	bam:corpus-01-bam-mini:bam.duplication_metrics:sample-set:samtools	corpus-01-bam-mini	library_complexity	present	scored	0.666667	one_minus_duplicate_fraction	1.000000	duplication metrics report preserved governed duplicate count and fraction surfaces	3		0.666667	one_minus_duplicate_fraction							duplicate_count,duplicate_fraction,estimated_library_size	duplicate_count=1; duplicate_fraction=0.333333; estimated_library_size=		not_available			not_available	none		0.750000	0.733333	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/bam.duplication_metrics/duplication_metrics.json	scored from 1 real evidence surface(s); runtime and memory ranking remain unavailable for this binding
bam.endogenous_content	samtools	single_tool_acceptance	output_contract	bam:corpus-01-bam-mini:bam.endogenous_content:sample-set:samtools	bam:corpus-01-bam-mini:bam.endogenous_content:sample-set:samtools	corpus-01-bam-mini	coverage_quality	present	scored			1.000000	endogenous content report preserved governed endogenous fraction outputs	3				0.600000	endogenous_fraction						endogenous_fraction=0.600000; mapped_reads=3; total_reads=5		not_available			not_available	none		0.750000	1.000000	/Users/bijan/bijux/bijux-genomics/runs/bench/local-smoke/bam.endogenous_content/endogenous_content.json	scored from 1 real evidence surface(s); runtime and memory ranking remain unavailable for this binding
