tool_id	known_failure_modes	assumption_violations	version_authority	license_authority	command_surface_authority	output_format_authority	evidence_locator	status
adapterremoval	adapter_overtrim;short_overlap_merge_error	modern_library_defaults_used_for_adna;unlocked_adapter_policy	configs/ci/registry/tool_registry.toml	domain/fastq/tools/adapterremoval.yaml	domain/fastq/tools/adapterremoval.yaml	domain/fastq/stages/trim_reads.yaml;domain/fastq/stages/merge_pairs.yaml	science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv	tracked
alientrimmer	alien_sequence_overtrim;adapter_database_mismatch	unlocked_adapter_policy;non_adapter_contaminant_interpretation	configs/ci/registry/tool_registry.toml	domain/fastq/tools/alientrimmer.yaml	domain/fastq/tools/alientrimmer.yaml	domain/fastq/stages/trim_reads.yaml	science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv	tracked
atropos	adapter_overtrim;low_complexity_false_positive	unlocked_adapter_policy;quality_policy_mismatch	configs/ci/registry/tool_registry.toml	domain/fastq/tools/atropos.yaml	domain/fastq/tools/atropos.yaml	domain/fastq/stages/trim_reads.yaml	science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv	tracked
bayeshammer	error_correction_false_variant;coverage_model_mismatch	amplicon_asv_route;ancient_dna_damage_route	configs/ci/registry/tool_registry.toml	domain/fastq/tools/bayeshammer.yaml	domain/fastq/tools/bayeshammer.yaml	domain/fastq/stages/correct_errors.yaml	science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv	tracked
bbduk	kmer_filter_false_positive;polyx_threshold_mismatch	unlocked_motif_bank;unfixed_kmer_policy	configs/ci/registry/tool_registry.toml	domain/fastq/tools/bbduk.yaml	domain/fastq/tools/bbduk.yaml	domain/fastq/stages/filter_low_complexity.yaml;domain/fastq/stages/trim_polyg_tails.yaml	science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv	tracked
bbmerge	incorrect_overlap_merge;read_layout_mismatch	unsynchronized_pairs;premerged_single_end_input	configs/ci/registry/tool_registry.toml	domain/fastq/tools/bbmerge.yaml	domain/fastq/tools/bbmerge.yaml	domain/fastq/stages/merge_pairs.yaml	science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv	tracked
bijux_dna	internal_contract_harness_scope_drift;workspace_binary_surface_drift	scientific_backend_equivalence_assumption;non_container_execution_drift	configs/domain/external_tools.toml	domain/fastq/tools/bijux_dna.yaml	domain/fastq/tools/bijux_dna.yaml	domain/fastq/stages/build_contaminant_db.yaml;domain/fastq/stages/build_rrna_db.yaml;domain/fastq/stages/build_taxonomy_db.yaml;domain/fastq/stages/capture_provenance_snapshot.yaml;domain/fastq/stages/classify_layout.yaml;domain/fastq/stages/concatenate_lanes.yaml;domain/fastq/stages/deinterleave_reads.yaml;domain/fastq/stages/demultiplex_reads.yaml;domain/fastq/stages/detect_duplicates_premerge.yaml;domain/fastq/stages/detect_instrument_artifacts.yaml;domain/fastq/stages/estimate_library_complexity_prealign.yaml;domain/fastq/stages/interleave_reads.yaml;domain/fastq/stages/materialize_qc_manifest.yaml;domain/fastq/stages/normalize_read_names.yaml;domain/fastq/stages/prepare_adapter_bank.yaml;domain/fastq/stages/prepare_host_reference_bundle.yaml;domain/fastq/stages/prepare_primer_bank.yaml;domain/fastq/stages/repair_pairs.yaml;domain/fastq/stages/subsample_reads.yaml;domain/fastq/stages/verify_assets.yaml	science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv	tracked
bowtie2	host_reference_mismatch;decoy_overlap_with_target	unlocked_reference_index;host_signal_is_target	configs/ci/registry/tool_registry.toml	domain/fastq/tools/bowtie2.yaml	domain/fastq/tools/bowtie2.yaml	domain/fastq/stages/deplete_host.yaml;domain/fastq/stages/deplete_reference_contaminants.yaml	science/docs/upstream/github-repos/MANIFEST.tsv	tracked
bowtie2_build	index_backend_mismatch;reference_digest_mismatch	unlocked_reference_source;downstream_mapper_mismatch	configs/ci/registry/tool_registry.toml	domain/fastq/tools/bowtie2_build.yaml	domain/fastq/tools/bowtie2_build.yaml	domain/fastq/stages/index_reference.yaml	science/docs/upstream/github-repos/MANIFEST.tsv	tracked
centrifuge	database_taxonomy_drift;classifier_confidence_mismatch	unlocked_taxonomy_db;scientific_taxonomy_without_database_lock	configs/ci/registry/tool_registry.toml	domain/fastq/tools/centrifuge.yaml	domain/fastq/tools/centrifuge.yaml	domain/fastq/stages/screen_taxonomy.yaml	science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv	tracked
