stage_id	tool_id	blocker	release_action	closure_effect	evidence_locator	owner	status
fastq.build_contaminant_db	bijux_dna	missing_container_ref	publish immutable container reference for planned runtime binding	bijux_dna cannot be treated as world-class closed for fastq.build_contaminant_db until missing_container_ref is resolved	domain/fastq/stages/build_contaminant_db.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-runtime	tracked
fastq.build_contaminant_db	bijux_dna	missing_runtime_surface	add production runtime smoke surface for planned binding	bijux_dna cannot be treated as world-class closed for fastq.build_contaminant_db until missing_runtime_surface is resolved	domain/fastq/stages/build_contaminant_db.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-runtime	tracked
fastq.build_contaminant_db	bijux_dna	registry_not_production	promote planned binding only after runtime closure is available	bijux_dna cannot be treated as world-class closed for fastq.build_contaminant_db until registry_not_production is resolved	domain/fastq/stages/build_contaminant_db.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-domain	tracked
fastq.build_rrna_db	bijux_dna	missing_container_ref	publish immutable container reference for planned runtime binding	bijux_dna cannot be treated as world-class closed for fastq.build_rrna_db until missing_container_ref is resolved	domain/fastq/stages/build_rrna_db.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-runtime	tracked
fastq.build_rrna_db	bijux_dna	missing_runtime_surface	add production runtime smoke surface for planned binding	bijux_dna cannot be treated as world-class closed for fastq.build_rrna_db until missing_runtime_surface is resolved	domain/fastq/stages/build_rrna_db.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-runtime	tracked
fastq.build_rrna_db	bijux_dna	registry_not_production	promote planned binding only after runtime closure is available	bijux_dna cannot be treated as world-class closed for fastq.build_rrna_db until registry_not_production is resolved	domain/fastq/stages/build_rrna_db.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-domain	tracked
fastq.build_taxonomy_db	bijux_dna	missing_container_ref	publish immutable container reference for planned runtime binding	bijux_dna cannot be treated as world-class closed for fastq.build_taxonomy_db until missing_container_ref is resolved	domain/fastq/stages/build_taxonomy_db.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-runtime	tracked
fastq.build_taxonomy_db	bijux_dna	missing_runtime_surface	add production runtime smoke surface for planned binding	bijux_dna cannot be treated as world-class closed for fastq.build_taxonomy_db until missing_runtime_surface is resolved	domain/fastq/stages/build_taxonomy_db.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-runtime	tracked
fastq.build_taxonomy_db	bijux_dna	registry_not_production	promote planned binding only after runtime closure is available	bijux_dna cannot be treated as world-class closed for fastq.build_taxonomy_db until registry_not_production is resolved	domain/fastq/stages/build_taxonomy_db.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-domain	tracked
fastq.capture_provenance_snapshot	bijux_dna	missing_container_ref	publish immutable container reference for planned runtime binding	bijux_dna cannot be treated as world-class closed for fastq.capture_provenance_snapshot until missing_container_ref is resolved	domain/fastq/stages/capture_provenance_snapshot.yaml;domain/fastq/tools/bijux_dna.yaml	bijux-runtime	tracked
