stage_id	tool_id	blocker	release_action	closure_effect	evidence_locator	owner	status
fastq.filter_low_complexity	dustmasker	missing_container_ref	build and admit a DustMasker container image with immutable digest	blocks world-class closure for planned low-complexity backend	domain/fastq/tools/dustmasker.yaml;configs/domain/external_tools.toml	bijux-runtime	tracked
fastq.filter_low_complexity	dustmasker	missing_runtime_surface	add production registry and runtime smoke surface for DustMasker version/help/artifact checks	blocks runtime comparability for planned low-complexity backend	domain/fastq/stages/filter_low_complexity.yaml;domain/fastq/tools/dustmasker.yaml	bijux-runtime	tracked
fastq.filter_low_complexity	dustmasker	registry_not_production	promote from planned external allowlist only after runtime image and smoke contract are available	keeps planned binding out of closed runtime configs	configs/domain/external_tools.toml;domain/fastq/tools/dustmasker.yaml	bijux-domain	tracked
fastq.normalize_abundance	seqfu	missing_container_ref	build and admit a SeqFu container image with immutable digest	blocks world-class closure for planned abundance-normalization backend	domain/fastq/tools/seqfu.yaml;configs/domain/external_tools.toml	bijux-runtime	tracked
fastq.normalize_abundance	seqfu	missing_runtime_surface	add production registry and runtime smoke surface for SeqFu abundance-normalization behavior	blocks runtime comparability for planned abundance-normalization backend	domain/fastq/stages/normalize_abundance.yaml;domain/fastq/tools/seqfu.yaml	bijux-runtime	tracked
fastq.normalize_abundance	seqfu	registry_not_production	promote from planned external allowlist only after runtime image and smoke contract are available	keeps planned binding out of closed runtime configs	configs/domain/external_tools.toml;domain/fastq/tools/seqfu.yaml	bijux-domain	tracked
fastq.profile_read_lengths	seqfu	missing_container_ref	build and admit a SeqFu container image with immutable digest	blocks world-class closure for planned read-length profiling backend	domain/fastq/tools/seqfu.yaml;configs/domain/external_tools.toml	bijux-runtime	tracked
fastq.profile_read_lengths	seqfu	missing_runtime_surface	add production registry and runtime smoke surface for SeqFu read-length profiling behavior	blocks runtime comparability for planned read-length profiling backend	domain/fastq/stages/profile_read_lengths.yaml;domain/fastq/tools/seqfu.yaml	bijux-runtime	tracked
fastq.profile_read_lengths	seqfu	registry_not_production	promote from planned external allowlist only after runtime image and smoke contract are available	keeps planned binding out of closed runtime configs	configs/domain/external_tools.toml;domain/fastq/tools/seqfu.yaml	bijux-domain	tracked
fastq.screen_taxonomy	diamond	missing_container_ref	build and admit a DIAMOND container image with immutable digest	blocks world-class closure for planned protein-alignment taxonomy backend	domain/fastq/tools/diamond.yaml;configs/domain/external_tools.toml	bijux-runtime	tracked
fastq.screen_taxonomy	diamond	missing_runtime_surface	add production registry and runtime smoke surface for DIAMOND taxonomy-screen behavior	blocks runtime comparability for planned taxonomy-screen backend	domain/fastq/stages/screen_taxonomy.yaml;domain/fastq/tools/diamond.yaml	bijux-runtime	tracked
fastq.screen_taxonomy	diamond	registry_not_production	promote from planned external allowlist only after runtime image and smoke contract are available	keeps planned binding out of closed runtime configs	configs/domain/external_tools.toml;domain/fastq/tools/diamond.yaml	bijux-domain	tracked
fastq.trim_reads	seqpurge	missing_container_ref	build and admit a SeqPurge container image with immutable digest	blocks world-class closure for planned trimming backend	domain/fastq/tools/seqpurge.yaml;configs/domain/external_tools.toml	bijux-runtime	tracked
fastq.trim_reads	seqpurge	missing_runtime_surface	add production registry and runtime smoke surface for SeqPurge trimming behavior	blocks runtime comparability for planned trimming backend	domain/fastq/stages/trim_reads.yaml;domain/fastq/tools/seqpurge.yaml	bijux-runtime	tracked
fastq.trim_reads	seqpurge	registry_not_production	promote from planned external allowlist only after runtime image and smoke contract are available	keeps planned binding out of closed runtime configs	configs/domain/external_tools.toml;domain/fastq/tools/seqpurge.yaml	bijux-domain	tracked
