source_id	tool_id	archive_path	paper_root	acquisition_mode	primary_locator	supporting_locators	archive_payload_focus	notes
source.fastq.tool.atropos.upstream	atropos	science-docs/upstream/fastq/tools/atropos/repo	science-docs/upstream/papers/paper.fastq.atropos.didion-2017	manual_clone	https://github.com/jdidion/atropos	https://pmc.ncbi.nlm.nih.gov/articles/PMC5581536/	repo-mirror;paper	Keep the upstream repository beside the Atropos methods paper so trimming claims can resolve to both implementation and publication evidence.
source.fastq.tool.dustmasker.upstream	dustmasker	science-docs/upstream/fastq/tools/dustmasker/download	science-docs/upstream/papers/paper.fastq.dustmasker.selection-pending	manual_download	https://www.ncbi.nlm.nih.gov/IEB/ToolBox/CPP_DOC/lxr/source/src/app/dustmasker/	https://github.com/apcamargo/pydustmasker;https://bioinfo.wisc.edu/biolinux/docs/dustmasker.html	ncbi-source-page;supporting-wrapper-docs	Archive the NCBI source tree page first; link it to the dustmasker paper root once the canonical publication is selected.
source.fastq.tool.diamond.upstream	diamond	science-docs/upstream/fastq/tools/diamond/repo	science-docs/upstream/papers/paper.fastq.diamond.buchfink-2015	manual_clone	https://github.com/bbuchfink/diamond		repo-mirror	Use the upstream GitHub repository as the canonical local evidence packet and pair it with the DIAMOND methods paper.
source.fastq.tool.fastp.upstream	fastp	science-docs/upstream/fastq/tools/fastp/repo	science-docs/upstream/papers/paper.fastq.fastp.chen-2018	manual_clone	https://github.com/OpenGene/fastp		repo-mirror	Prefer the source repository over version-templated release archives and keep the Bioinformatics paper in the linked paper root.
source.fastq.tool.fastqc.upstream	fastqc	science-docs/upstream/fastq/tools/fastqc/repo	science-docs/upstream/papers/paper.fastq.fastqc.selection-pending	manual_clone	https://github.com/s-andrews/FastQC	https://www.bioinformatics.babraham.ac.uk/projects/fastqc/	repo-mirror;project-homepage	Keep the GitHub source tree and the Babraham project page together; FastQC currently resolves to a software-citation root rather than a formal paper.
source.fastq.tool.seqfu.upstream	seqfu	science-docs/upstream/fastq/tools/seqfu/repo	science-docs/upstream/papers/paper.fastq.seqfu.telatin-2021	manual_clone	https://github.com/telatin/seqfu2		repo-mirror	The FASTQ surface refers to the seqfu2 upstream repository and its Bioengineering paper.
source.fastq.tool.seqkit.upstream	seqkit	science-docs/upstream/fastq/tools/seqkit/repo	science-docs/upstream/papers/paper.fastq.seqkit.shen-2016	manual_clone	https://github.com/shenwei356/seqkit	https://bioinf.shenwei.me/seqkit	repo-mirror;project-docs	The current FASTQ surface is seqkit, not seqtk; archive the seqkit repo, docs, and the PLOS One paper together.
source.fastq.tool.seqkit_stats.upstream	seqkit_stats	science-docs/upstream/fastq/tools/seqkit_stats/repo	science-docs/upstream/papers/paper.fastq.seqkit-stats.shen-2016	manual_clone	https://github.com/shenwei356/seqkit	https://bioinf.shenwei.me/seqkit	repo-mirror;project-docs	SeqKit stats is a FASTQ profiling surface inside the same seqkit upstream project and shares the same primary publication.
source.fastq.tool.seqpurge.upstream	seqpurge	science-docs/upstream/fastq/tools/seqpurge/repo	science-docs/upstream/papers/paper.fastq.seqpurge.stenzel-2016	manual_clone	https://github.com/imgag/ngs-bits	https://pmc.ncbi.nlm.nih.gov/articles/PMC4862148/	repo-mirror;paper	SeqPurge is distributed through ngs-bits; keep the paper beside the repository packet.
source.fastq.tool.fastuniq.upstream	fastuniq	science-docs/upstream/fastq/tools/fastuniq/download	science-docs/upstream/papers/paper.fastq.fastuniq.xu-2012	manual_download	https://sourceforge.net/projects/fastuniq/	https://pmc.ncbi.nlm.nih.gov/articles/PMC3527383/	release-page;paper	Archive the SourceForge project page or source bundle and keep the publication beside it.
source.fastq.tool.dada2.upstream	dada2	science-docs/upstream/fastq/tools/dada2/repo	science-docs/upstream/papers/paper.fastq.dada2.callahan-2016	manual_clone	https://github.com/benjjneb/dada2	https://benjjneb.github.io/dada2/	repo-mirror;project-docs	Keep the source repository and the maintained project documentation together with the primary DADA2 methods paper.
